Producto,Codígo de Barras,Precio
CALDOS WILDE GALLINA X 12UN.       ,7794000596306,123.88400268554688
CALDOS WILDE GALLINA X 12UN.       ,7794000597730,123.88400268554688
CALDOS WILDE X 6 UN,7794000541221,53.63600158691406
CALDOS WILDE CARNE X 6 UN.         ,7794000541221,53.63600158691406
CALDOS WILDE CARNE X 6 UN.         ,7794000596344,53.63600158691406
CALDOS WILDE X 6 UN,7794000597815,53.63600158691406
CALDOS WILDE GALLINA X 6 UN.       ,7794000542228,53.63600158691406
CALDOS WILDE GALLINA X 6 UN.       ,7794000596368,53.63600158691406
CALDOS WILDE GALLINA X 6 UN.       ,7794000596815,53.63600158691406
CALDOS WILDE GALLINA X 6 UN.       ,7794000597815,53.63600158691406
SOPA KNORR CREMA LIGHT,7794000598430,495.7850036621094
SOPA KNORR CREMA LIGHT VERDURA,7794000537118,495.7850036621094
SOPA KNORR CREMA LIGHT VERDURA,7794000594845,495.7850036621094
SOPA KNORR CREMA LIGHT VERDURA,7794000596962,495.7850036621094
SOPA KNORR CREMA LIGHT VERDURA,7794000598430,495.7850036621094
SOPA KNORR CREMA,7794000006966,495.7850036621094
SOPA KNORR CREMA VERDURAS X 10 UN,7794000004306,495.7850036621094
SOPA KNORR CREMA VERDURAS X 10 UN,7794000005877,495.7850036621094
SOPA KNORR CREMA VERDURAS X 10 UN,7794000006966,495.7850036621094
SOPA KNORR CREMA VERDURAS X 76 GR. ,7794000519114,495.7850036621094
SOPA KNORR CREMA VERDURAS X 10 UN,7794000598393,495.7850036621094
SOPA KNORR QUICK LIGHT,7794000597457,1603.2239990234375
SOPA KNORR QUICK LIGHT.ESPARRAG.X55,7794000569317,1603.2239990234375
SOPA KNORR QUICK LIGHT.ESPARRAG.X55,7794000596580,1603.2239990234375
SOPA KNORR QUICK LIGHT.ESPARRAG.X55,7794000597457,1603.2239990234375
MANDARINA ESPECIAL,2010590000000,867.7689819335938
MANDARINA ESPECIAL <1059>,2010590000000,867.7689819335938
MANDARINA ESPECIAL <1059>,2410590000000,867.7689819335938
SOPA KNORR QUICK LIGHT,7794000598591,1603.2239990234375
